date,银行股轮动,银行股等权持有,沪深300
2023-05-31,2.26158126844008,1.2751081294637532,1.0110889887353336
2023-06-01,2.243468404906039,1.2678868678430393,1.0133062541257638
2023-06-02,2.232200704443688,1.2840546276320073,1.027935414492877
2023-06-05,2.3078750013262814,1.3035856172936195,1.0232559996592918
2023-06-06,2.3076848430473285,1.2992498502245482,1.0136496241562147
2023-06-07,2.3076848430473285,1.3154874196877753,1.0086401482080876
2023-06-08,2.3076848430473285,1.350317132328857,1.016851749323907
2023-06-09,2.3076848430473285,1.338525102007102,1.0212463533570408
2023-06-12,2.3076848430473285,1.3151029504647826,1.0233039117565639
2023-06-13,2.3076848430473285,1.3195983147975194,1.028755243712868
2023-06-14,2.3076848430473285,1.2927232302440792,1.0285183450096889
2023-06-15,2.3076848430473285,1.303464580260644,1.0448829880113286
2023-06-16,2.3076848430473285,1.2971042919420614,1.0549578373544004
2023-06-19,2.3076848430473285,1.2769908153959204,1.0463230127126764
2023-06-20,2.3076848430473285,1.2688215926803914,1.044547603330423
2023-06-21,2.3076848430473285,1.2704831864898554,1.0285210067928707
2023-06-26,2.3076848430473285,1.2463435301569938,1.0140595387662101
2023-06-27,2.3076848430473285,1.2642715560598676,1.0235700900747429
2023-06-28,2.3076848430473285,1.2651916019205425,1.0223376844615746
2023-06-29,2.3076848430473285,1.25914749881777,1.0172909435489024
2023-06-30,2.3076848430473285,1.2698106112967273,1.0227768786865696
2023-07-03,2.3076848430473285,1.2967590321512505,1.0362002512723323
2023-07-04,2.3076848430473285,1.2807821704548439,1.0378319243627692
2023-07-05,2.3076848430473285,1.2740405565549864,1.029793339153766
2023-07-06,2.3076848430473285,1.2609519134879268,1.0228567321820234
2023-07-07,2.3076848430473285,1.2627733050384018,1.0183183918570728
2023-07-10,2.3076848430473285,1.2627475969696171,1.023277293924746
2023-07-11,2.3076848430473285,1.278101796722009,1.0299743404101274
2023-07-12,2.3076848430473285,1.2795418973101997,1.0230403952215668
2023-07-13,2.3076848430473285,1.304208025392249,1.0376748791550436
2023-07-14,2.3076848430473285,1.3062877086059133,1.037855880411405
2023-07-17,2.3076848430473285,1.3014493408302248,1.0293568067119525
2023-07-18,2.3076848430473285,1.2938010963502904,1.0261014458806244
2023-07-19,2.3076848430473285,1.3014386733641021,1.0250181001256362
2023-07-20,2.3076848430473285,1.3053759043391966,1.0177833734375332
2023-07-21,2.3076848430473285,1.3061835176249144,1.0173095760311748
2023-07-24,2.3076848430473285,1.3001396323106527,1.0128670599007685
2023-07-25,2.3076848430473285,1.3338364494553159,1.0421200570686313
2023-07-26,2.3076848430473285,1.3317451387397836,1.0399613509082004
2023-07-27,2.3076848430473285,1.3455770326328442,1.0387209599454865
2023-07-28,2.3076848430473285,1.3893939905233266,1.0627808181256786
2023-07-31,2.3076848430473285,1.3984428392567423,1.0686074615106151
2023-08-01,2.3076848430473285,1.3934842799799396,1.0641809160792999
2023-08-02,2.3076848430473285,1.3598648369629174,1.0567013053384724
2023-08-03,2.306531000625805,1.3800178555281561,1.0660388407401886
2023-08-04,2.3063364797739707,1.3829307590914117,1.0701912225037797
2023-08-07,2.286062499362235,1.3683589851700693,1.0620914162815953
2023-08-08,2.2721655477665603,1.3606564334849864,1.059317838206171
2023-08-09,2.2880468059567947,1.3656427543696297,1.0560811098571155
2023-08-10,2.2925331722429845,1.363450641226791,1.0582504631502736
2023-08-11,2.24192902725002,1.3324871965401626,1.0339031323864483
2023-08-14,2.2048530917737805,1.3107118892342964,1.0263596388492577
2023-08-15,2.267293253987919,1.332246480791905,1.0238655480079215
2023-08-16,2.260888366402432,1.3318503795721344,1.0163566576520942
2023-08-17,2.2360612309418575,1.3170686731205743,1.019755754775239
2023-08-18,2.258674719597097,1.3239264161639248,1.0072187559890122
2023-08-21,2.2186479078726538,1.3012857720123334,0.992728008347352
2023-08-22,2.2604203698801055,1.3201885573915617,1.0003593407295415
2023-08-23,2.2646063335280315,1.3198440471049682,0.9839627563297204
2023-08-24,2.244764682718236,1.3076686126089463,0.9910963352569152
2023-08-25,2.266873166389894,1.3222721930788615,0.9872953088733204
2023-08-28,2.295959009160808,1.3446906709415427,0.9988660803645578
2023-08-29,2.251930197807561,1.3211076811112459,1.0088451055130854
2023-08-30,2.2346334067828413,1.305437323012609,1.008419220203999
2023-08-31,2.1966695452724347,1.2991318491789914,1.002233236089521
2023-09-01,2.1966695452724347,1.3080255620048284,1.0092124315921722
2023-09-04,2.1966695452724347,1.3359953170564884,1.0245070377547325
2023-09-05,2.1966695452724347,1.3210070750587672,1.0168863525052703
2023-09-06,2.1966695452724347,1.3257530379492672,1.014679734247567
2023-09-07,2.1966695452724347,1.320467736800537,1.0004232235259043
2023-09-08,2.1966695452724347,1.3148095754980207,0.9955042482059581
2023-09-11,2.1966695452724347,1.3182326773275788,1.0028374608717872
2023-09-12,2.1966695452724347,1.3164502067741097,1.0009901833436254
2023-09-13,2.1966695452724347,1.3177071694999762,0.9946152126232406
2023-09-14,2.1966695452724347,1.33383295898202,0.9937794127041588
2023-09-15,2.1966695452724347,1.3201872239730483,0.9871968228955943
2023-09-18,2.1966695452724347,1.3218801635224475,0.992235578458721
2023-09-19,2.1966695452724347,1.331798695197935,0.9903164327846511
2023-09-20,2.1966695452724347,1.3375720228588424,0.9863743318924214
2023-09-21,2.1966695452724347,1.3291940453798443,0.9775239028129724
2023-09-22,2.1966695452724347,1.3442738016133724,0.9952220991886884
2023-09-25,2.1966695452724347,1.3456272237117368,0.9887459807073955
2023-09-26,2.1966695452724347,1.3394943262151657,0.9829672494197312
2023-09-27,2.1966695452724347,1.328996075817693,0.9849928664210728
2023-09-28,2.1966695452724347,1.336422860353204,0.9820702284874683
2023-10-09,2.1966695452724347,1.3235081755237907,0.9807952343433913
2023-10-10,2.1966695452724347,1.3179379203836095,0.9734487127616532
2023-10-11,2.1966695452724347,1.3226534663034932,0.9762222908370776
2023-10-12,2.1966695452724347,1.3500624981250628,0.9854932816592492
2023-10-13,2.1966695452724347,1.3559967347621695,0.9751203125998168
2023-10-16,2.1966695452724347,1.3532952710751445,0.965322288707651
2023-10-17,2.1966695452724347,1.3552452137410307,0.9687293711803411
2023-10-18,2.1966695452724347,1.3528212736264058,0.9610581120504248
2023-10-19,2.1966695452724347,1.3144970042896749,0.9405517344179212
2023-10-20,2.1966695452724347,1.3145350915938823,0.9344429420157152
2023-10-23,2.1966695452724347,1.3052363431425755,0.9247673601499116
2023-10-24,2.1966695452724347,1.292477817873485,0.9281983986712379
2023-10-25,2.1966695452724347,1.2938665367483684,0.9328112689252784
2023-10-26,2.1966695452724347,1.3100648544252038,0.9353878750452502
2023-10-27,2.1966695452724347,1.3121579323329067,0.9482309788973828
2023-10-30,2.1966695452724347,1.2855157075071093,0.9539218713400481
2023-10-31,2.1966695452724347,1.292205685785165,0.9509247034773536
2023-11-01,2.1966695452724347,1.2935298333530632,0.9505307595664488
2023-11-02,2.1966695452724347,1.3052931614546985,0.9460483166883158
2023-11-03,2.1966695452724347,1.2987378777287142,0.9540203573177742
2023-11-06,2.1966695452724347,1.297597785327512,0.9669220203999063
2023-11-07,2.1966695452724347,1.2978095047138778,0.9635016290113073
2023-11-08,2.1966695452724347,1.2921471700545941,0.9611885394263325
2023-11-09,2.1966695452724347,1.3033016995266677,0.9616570132663274
2023-11-10,2.1966695452724347,1.2936415111915642,0.9546458763654947
2023-11-13,2.1966695452724347,1.2877581849245663,0.9527613338727879
2023-11-14,2.1966695452724347,1.2926913203977795,0.9534667064159621
2023-11-15,2.1966695452724347,1.2969607902626321,0.960171738250889
2023-11-16,2.1966695452724347,1.2964510891424137,0.9508847767296267
2023-11-17,2.1966695452724347,1.2862327431710185,0.9497428717446392
2023-11-20,2.1966695452724347,1.2941401812310571,0.9519388428696153
2023-11-21,2.1966695452724347,1.2985191678019405,0.9532031898809651
2023-11-22,2.1966695452724347,1.292236930225975,0.9434477545197079
2023-11-23,2.1966695452724347,1.2913493004127523,0.9479994037605672
2023-11-24,2.1966695452724347,1.2922875015427502,0.941741551500181
2023-11-27,2.1966695452724347,1.2828089842112427,0.9348022827452567
2023-11-28,2.1966695452724347,1.2789230078336575,0.9365537360788739
2023-11-29,2.1966695452724347,1.2638275362084896,0.9285124890866889
