date,优化版,朴素版,买入持有
2020-11-04,1.1858241509907368,1.1858241509907368,1.2812919230851132
2020-11-05,1.2034255469323463,1.2034255469323463,1.3003103639189966
2020-11-06,1.2035758177724358,1.2035758177724358,1.3004727326930858
2020-11-09,1.22713385127693,1.22713385127693,1.3259273652605355
2020-11-10,1.2203667365601207,1.2203667365601207,1.3186154468601605
2020-11-11,1.2083007271378667,1.2083007271378667,1.3055780328357571
2020-11-12,1.2091777176144536,1.2091777176144536,1.3065256276484742
2020-11-13,1.1964638191603394,1.1964638191603394,1.2927881646472605
2020-11-16,1.2081208948210387,1.2081208948210387,1.3053837226634868
2020-11-17,1.205810172722616,1.205810172722616,1.3028869700389685
2020-11-18,1.2050415743274052,1.2050415743274052,1.3020564936862502
2020-11-19,1.2139888479537069,1.2139888479537069,1.3117240902025085
2020-11-20,1.2177579362379143,1.2177579362379143,1.3157966184706458
2020-11-23,1.2329673160200691,1.2329673160200691,1.3322304678350119
2020-11-24,1.2253946510621256,1.2253946510621256,1.3240481463341922
2020-11-25,1.209729531846913,1.209729531846913,1.307121867081195
2020-11-26,1.2119195445819853,1.2119195445819853,1.3094881923298056
2020-11-27,1.2269909708060254,1.2269909708060254,1.3257729818359916
2020-11-30,1.2219359582836764,1.2219359582836764,1.3203110027469602
2020-12-01,1.2482579898632564,1.2482579898632564,1.3487521560443774
2020-12-02,1.2482678436888361,1.2482678436888361,1.3487628031771044
2020-12-03,1.24578467964277,1.24578467964277,1.3460797257298611
2020-12-04,1.2479673020086577,1.2479673020086577,1.348438065628926
2020-12-07,1.2372069244757045,1.2372069244757045,1.336811396690871
2020-12-08,1.2341620923715997,1.2341620923715997,1.3335214326781797
2020-12-09,1.2176125923106154,1.2176125923106154,1.3156395732629202
2020-12-10,1.2170755588165258,1.2170755588165258,1.3150593045292904
2020-12-11,1.2045390292228446,1.2045390292228446,1.3015134899171652
2020-12-14,1.2156763155842187,1.2156763155842187,1.313547411682034
2020-12-15,1.2182038218453932,1.2182038218453932,1.3162784012265498
2020-12-16,1.2203642731037263,1.2203642731037263,1.3186127850769787
2020-12-17,1.2360343192317287,1.2360343192317287,1.3355443878963393
2020-12-18,1.231720807084247,1.231720807084247,1.3308836055450268
2020-12-21,1.2432670272071753,1.2432670272071753,1.3433593833180724
2020-12-22,1.2230494405741748,1.2230494405741748,1.321514128745129
2020-12-23,1.2334821784066052,1.2334821784066052,1.332786780520006
2020-12-24,1.2317331243662215,1.2317331243662215,1.3308969144609357
2020-12-25,1.2420771777684354,1.2420771777684354,1.3420737420412683
2020-12-28,1.2475953200930268,1.2475953200930268,1.3480361363684759
2020-12-29,1.2423062792131616,1.2423062792131616,1.3423212878771746
