date,国证2000优化版,国证2000买入持有,沪深300
2021-11-02,1.1827784486158825,1.1947377781890796,1.288263133238219
2021-11-03,1.1827784486158825,1.1985219160433274,1.283274951555546
2021-11-04,1.1827784486158825,1.2161354365639971,1.2959530248504076
2021-11-05,1.1827784486158825,1.2016871731174386,1.2889285790336662
2021-11-08,1.1827784486158825,1.2117960411873836,1.2904803986286493
2021-11-09,1.1827784486158825,1.22990408793891,1.2900971018504717
2021-11-10,1.1861390823397837,1.234013571997669,1.2832962458210002
2021-11-11,1.1944700537620632,1.242680794885847,1.303914418347139
2021-11-12,1.2106997423336279,1.2595655399084116,1.3011781052362599
2021-11-15,1.2109916182092832,1.2598691963659552,1.2995836971103683
2021-11-16,1.197761301731359,1.2461048829404358,1.2998339047294563
2021-11-17,1.2217646177912131,1.2710770116155825,1.300480718042631
2021-11-18,1.2201857082924297,1.269434374778584,1.28766955558868
2021-11-19,1.2321970955182118,1.2819305609980753,1.3016279465939824
2021-11-22,1.2510675658218968,1.3015626739698454,1.307574370222099
2021-11-23,1.2514178168726835,1.301927061718898,1.3078272396243693
2021-11-24,1.250672838447201,1.3011520147605957,1.3087082898575413
2021-11-25,1.2487756452554408,1.2991782477865612,1.3033261642639635
2021-11-26,1.2523712780664913,1.3029190061468743,1.2936612295308874
2021-11-29,1.2615889961967144,1.3125087662727326,1.291342816379549
2021-11-30,1.272746993957485,1.3241171188496914,1.2861816187900597
2021-12-01,1.2782954153651827,1.3298894835092852,1.2893278465109346
2021-12-02,1.2609788366280825,1.3118739796781531,1.292604501607717
2021-12-03,1.2683897040994863,1.3195839617335026,1.3045452609612231
2021-12-06,1.248792323876907,1.2991955995841353,1.3023093630885203
2021-12-07,1.2278453652007018,1.277403187814411,1.3101562999084346
2021-12-08,1.2496206954097193,1.3000574055303071,1.3298082451395838
2021-12-09,1.248874327099115,1.2992809125888738,1.3518371627520707
2021-12-10,1.2560794915724376,1.3067768891408114,1.3455633397925937
2021-12-13,1.2643757158666626,1.31540796245071,1.353197333957965
2021-12-14,1.2690207119449506,1.3202404380750494,1.344120653308064
2021-12-15,1.2701298402724412,1.3213943326137156,1.3324620429718275
2021-12-16,1.2805915055870054,1.332278247641963,1.3401359638849257
2021-12-17,1.268306310992156,1.3194972027456329,1.318849683780158
2021-12-20,1.2491036581442727,1.2995194998055153,1.2990619876067375
2021-12-21,1.2484791063152005,1.319004122497907,1.3078645045889141
2021-12-22,1.2576121063010848,1.329312536239952,1.3081200357743659
2021-12-23,1.257323460469052,1.3290074337992774,1.3172472903047208
2021-12-24,1.2328364443866369,1.3031243357514992,1.3099540043866187
2021-12-27,1.2366093600489443,1.3071123572272407,1.3094163241838972
2021-12-28,1.23599105536892,1.3190070144641695,1.3191690977619728
2021-12-29,1.23599105536892,1.3184098234309998,1.2998764932603648
2021-12-30,1.23599105536892,1.3305329460026518,1.309999254700709
2021-12-31,1.2449100485900366,1.3407994262338936,1.3150193777815633
2022-01-04,1.2523505791535756,1.3488130647467866,1.30900374779072
2022-01-05,1.226233538184156,1.3206843548963156,1.2957879942931367
2022-01-06,1.2396538816545883,1.3351384022753991,1.2825083579991907
2022-01-07,1.2138214658167947,1.3073162408487342,1.2836103362364515
2022-01-10,1.2231952991611883,1.3174120950704988,1.2893810821745704
2022-01-11,1.2139772040963637,1.307483974891949,1.2770623496092504
2022-01-12,1.2133702154943156,1.3286979934092087,1.2897883350013841
2022-01-13,1.198913065106954,1.3135310763464634,1.2685845701752518
2022-01-14,1.1983136085744006,1.315418084332628,1.25815304188582
2022-01-17,1.1983136085744006,1.3402022352007243,1.268946572687975
2022-01-18,1.1825513748787664,1.3232437450384704,1.2812094078064777
2022-01-19,1.177552988095403,1.3176506822871403,1.272433508656119
2022-01-20,1.1769642116013554,1.2828097187418213,1.2839137795191755
2022-01-21,1.1769642116013554,1.2636677940515146,1.2721486978556675
2022-01-24,1.1769642116013554,1.2664007021694084,1.2741264027597368
2022-01-25,1.1769642116013554,1.2108633820677848,1.245301952684142
2022-01-26,1.1769642116013554,1.2185748101062652,1.2543147505376804
2022-01-27,1.1769642116013554,1.179579537025121,1.229711888588403
2022-01-28,1.1769642116013554,1.1916043327438544,1.2147766231553843
2022-02-07,1.1769642116013554,1.2055479480776377,1.2334942824897255
2022-02-08,1.1769642116013554,1.219487225462028,1.2267546474734354
2022-02-09,1.1769642116013554,1.2423814763776966,1.2382775068674008
2022-02-10,1.1769642116013554,1.2373552390137816,1.2350301313856178
2022-02-11,1.1769642116013554,1.2103413821574358,1.2247929132684567
