date,v1.1双周+熔断,v1.0周度,等权持有,沪深300
2019-11-19,1.120673158512446,1.1276256715862298,1.237475063518875,1.0712203700788685
2019-11-20,1.118436285940565,1.1249990465188822,1.2283957338864016,1.0605869804755987
2019-11-21,1.10873418803843,1.1095203362334451,1.2217824163341,1.0556312455558512
2019-11-22,1.0768332244648444,1.0946025766106673,1.209631344981112,1.0448811546373846
2019-11-25,1.0671257475879832,1.0870011698286488,1.2052777583446512,1.0525400176951762
2019-11-26,1.0769171939421813,1.0947103979834618,1.2086671331185461,1.0561876122910911
2019-11-27,1.0687206575216215,1.0945072425077131,1.209307754626494,1.0518370958199217
2019-11-28,1.0750529091239094,1.100992281597495,1.2137451080262964,1.048222069032899
2019-11-29,1.0605716682834831,1.086161630698409,1.2005279729109777,1.0390949405908887
2019-12-02,1.0677864415371123,1.0935504853290103,1.2024649113746395,1.041100574821827
2019-12-03,1.0313405975794672,1.0562252592372319,1.1921384453874193,1.0451796928855621
2019-12-04,1.0539997454356942,1.0787269872919383,1.2001978635796515,1.0448350169081209
2019-12-05,1.051895953528637,1.072267544254262,1.2113459014318324,1.0528521258637256
2019-12-06,1.065721530135804,1.0658081012165856,1.2200823288116687,1.0591024311869337
2019-12-09,1.063568557347651,1.0593486581789093,1.2166138616435163,1.0572189262393408
2019-12-10,1.063568557347651,1.0593486581789093,1.2215767444260948,1.0585569203879912
2019-12-11,1.0474454745797432,1.0586424257401235,1.2139177856361456,1.0592001346136102
2019-12-12,1.050889680967674,1.062123449902008,1.2147592780258574,1.0560166312944075
2019-12-13,1.0578059994774984,1.0691137022656163,1.2379114054293456,1.0769685883483235
2019-12-16,1.073706418414483,1.0851840930231755,1.2486037269396701,1.0822147195640257
2019-12-17,1.0842449467352757,1.0958352757873486,1.2641321248285142,1.096938083167328
2019-12-18,1.082475532506151,1.09331639007664,1.260467495081818,1.0944900695322721
2019-12-19,1.0800877114937109,1.096074946333436,1.2573289921014015,1.092962096498418
2019-12-20,1.0751497813103135,1.0881700150183393,1.2514683036563727,1.0902752522648198
2019-12-23,1.0591308405131072,1.063175776330475,1.232955018483493,1.0766646221319973
2019-12-24,1.073210002274826,1.0830048483493369,1.2487732027374354,1.0836829849482443
2019-12-25,1.0816050588969035,1.0806898718884417,1.2506742592522897,1.083115762276707
2019-12-26,1.0899971060010378,1.0890748181636543,1.259551772288557,1.092647274345794
2019-12-27,1.076609470764633,1.0756985107125085,1.2583878817644958,1.091572536652355
2019-12-30,1.0904647240137832,1.089542040507087,1.2840034536788358,1.10774788173543
2019-12-31,1.0959639578948752,1.0950366212780969,1.2905776098406125,1.1118052879265705
2020-01-02,1.1181993592591293,1.1165231840128573,1.2969402893214304,1.1269113232843548
2020-01-03,1.1188397448541434,1.1238952587076032,1.2959759016621182,1.1249355428782344
2020-01-06,1.1330491659099085,1.1183352911011337,1.2984086299419555,1.1206854438178158
2020-01-07,1.1507853646882742,1.1345174045125237,1.3150391481055859,1.1290797965597537
2020-01-08,1.134997117954452,1.117328791429592,1.3029358043258996,1.1160770988595838
2020-01-09,1.1561644945988896,1.134033563351739,1.3184561673294193,1.1302033859665312
2020-01-10,1.1505211432378555,1.128498235218851,1.324822894530096,1.1298804218616847
2020-01-13,1.169854122033828,1.1474611483135027,1.3409069582250772,1.140956190869072
2020-01-14,1.1653603672169786,1.1430534115151598,1.3262937804771329,1.1371294733242507
2020-01-15,1.162617164977997,1.1403627187767134,1.323132729087435,1.1308438862080756
2020-01-16,1.1674601036446535,1.1451129554592088,1.3251753580024888,1.1260428483805658
2020-01-17,1.1611614357315192,1.1389348546342226,1.3331498330841185,1.1276196731277581
2020-01-20,1.1838546894485844,1.161193721341366,1.342954874575138,1.1360275957900678
2020-01-21,1.170963951880339,1.1485497341517912,1.3263534953429932,1.116617181690378
2020-01-22,1.1843081516654856,1.161638503529437,1.3280976267201408,1.1213992216293676
2020-01-23,1.1372346917158038,1.1154661087055038,1.287744443940071,1.086652083525574
2020-02-03,1.0699894881089818,1.049508091294656,1.1770882812583552,1.0010150300438039
2020-02-04,1.1233421087238442,1.1018394530971272,1.2136563858562892,1.0274166671189973
2020-02-05,1.1569051602774716,1.1347600514446166,1.2322468636621267,1.039056944813848
2020-02-06,1.1845646393505571,1.1618900816092137,1.260965732429044,1.0583940813435309
2020-02-07,1.1940606116280765,1.170816988326426,1.2670787145102758,1.0584185072001997
2020-02-10,1.1975742531376656,1.1831923838826184,1.27491600902906,1.062798877496187
2020-02-11,1.202795588007561,1.1872176888316601,1.2832151095587876,1.0726913494471615
2020-02-12,1.2376332310197107,1.2135278244266474,1.308004081785143,1.0813679565328311
2020-02-13,1.2477539808359068,1.2257829177620243,1.3032223117920472,1.0747159815666203
2020-02-14,1.2265421631616964,1.2053532024659905,1.2985044809093553,1.0822635712773638
2020-02-17,1.245321204022571,1.2238078285854441,1.3372675652323276,1.1066052944401323
2020-02-18,1.2432319614107343,1.2217546783974276,1.3291112766505997,1.1012017521481186
2020-02-19,1.2326096787602667,1.2113158995321045,1.3301737877695492,1.0995190820220266
2020-02-20,1.2532596296430076,1.2316091150242783,1.3692074370965397,1.124854123356004
2020-02-21,1.2630806594934998,1.2408499466506593,1.3775844986645707,1.126164977663911
2020-02-24,1.2628733712120417,1.26530590397235,1.374951826952327,1.1216461941801326
2020-02-25,1.2577067839721665,1.2620464950666457,1.371985202152932,1.1192063224972997
2020-02-26,1.2330376963596639,1.231904911770556,1.3430477168194375,1.105411141447422
2020-02-27,1.2349948990522983,1.233860316392414,1.3436872633512562,1.108629926559591
2020-02-28,1.191268579878509,1.1794975658510272,1.2822547711394505,1.0693232952109037
2020-03-02,1.221230471355932,1.2091634016355297,1.3270817586856243,1.1045019567825176
2020-03-03,1.233396709730017,1.2212094244973597,1.3367787539101252,1.1103885882397644
2020-03-04,1.2516792862469666,1.2393113495069377,1.3417581088113368,1.1168180165118793
2020-03-05,1.2758397318186507,1.263233063907047,1.3867409398980184,1.1416998225054416
2020-03-06,1.2653142683027887,1.2523905255962524,1.3677258764897675,1.1231850231502842
2020-03-09,1.2277713672685377,1.211817200071896,1.308065560127105,1.0848147163072448
2020-03-10,1.250747320604552,1.228055521045568,1.3454757145860001,1.1080464199836075
2020-03-11,1.2331451946360636,1.2188771772068723,1.3184506985884736,1.0933094864599335
2020-03-12,1.2188536880315621,1.194694287061354,1.2926017981801428,1.0722706819156385
2020-03-13,1.1953878592827853,1.1757777975198462,1.2690475158279515,1.0571809304623
2020-03-16,1.1646493143297996,1.1455435112979073,1.207099229266642,1.011729839169304
2020-03-17,1.113418406074823,1.0951530342613425,1.1973931864888987,1.0068012440902996
2020-03-18,1.1373261632604788,1.1186685902117395,1.1723656025092088,0.9868751730164849
2020-03-19,1.1304953754931486,1.1119498599401976,1.1593013906013359,0.9740733101378162
2020-03-20,1.1441569510278091,1.1253873204832816,1.1848870113742944,0.9914780900065678
2020-03-23,1.140741557144144,1.1220279553475105,1.1406081931438508,0.9581205117488371
2020-03-24,1.202218647050116,1.1824965277913884,1.191000468436265,0.9838490807735941
2020-03-25,1.2227110103521066,1.2026527186060143,1.2338023571636136,1.0102859996417541
2020-03-26,1.2192956164684414,1.1992933534702432,1.2201095323835558,1.0036448806118405
2020-03-27,1.2325507601309458,1.2123310495621704,1.2340965878322292,1.0069043754851246
2020-03-30,1.2173375250152285,1.1973673840551091,1.2083544265902835,0.9971476027378672
2020-03-31,1.2280581805932256,1.2079121697542288,1.2188777299201312,1.0004179535474487
2020-04-01,1.2060209438050615,1.1862364487461896,1.2039943465977376,0.9974108591930783
2020-04-02,1.2166737491986814,1.196714497327537,1.2332479645763772,1.0135454945150382
2020-04-03,1.2258388998517789,1.2053303909683717,1.2229091609897798,1.0077619944526166
2020-04-07,1.265344520156355,1.238998837643466,1.2643901307953787,1.0307765794030321
2020-04-08,1.2561753569668161,1.2255314589734283,1.262523235191507,1.0259782555595964
2020-04-09,1.266686340884552,1.2288983036409378,1.27143944967017,1.0293625937003001
2020-04-10,1.2631937213636724,1.2356319929759565,1.2656391545972687,1.0229494493326312
2020-04-13,1.2714498894771604,1.2352201156449645,1.2554979933118005,1.0186287866862798
2020-04-14,1.2806883991191378,1.2441953753408406,1.2859888350744906,1.0382888873208092
2020-04-15,1.2783870722563901,1.2419596244417557,1.276859632197041,1.0305974564541256
2020-04-16,1.2852972726469651,1.2486729197090083,1.282346920255746,1.031959876459445
2020-04-17,1.271513923878633,1.235282325395775,1.2975633374137046,1.042031471359326
2020-04-20,1.2668944364167671,1.2303827087608945,1.300703616455891,1.045822907111181
2020-04-21,1.2738363237395987,1.2151114580377933,1.2908494483938913,1.0334987054295965
2020-04-22,1.2796942666999394,1.2410874730751449,1.3017941201380234,1.0420016175345084
2020-04-23,1.2959664917079317,1.2677824847782309,1.3043852472568387,1.0393880508709175
2020-04-24,1.2947460611503754,1.2631988027712466,1.295605890210842,1.0304916110752262
2020-04-27,1.2957454539986375,1.2679455710398388,1.2999756149785426,1.0374936899870273
2020-04-28,1.3298387332075452,1.3013073877776535,1.314170200348094,1.04465317997514
2020-04-29,1.3061334317997846,1.2781106774690205,1.313476941872569,1.0495057835000625
2020-04-30,1.3084678972721704,1.2803950575896086,1.33415297410949,1.0618679809586877
