code,task,model,rmse,mae,r2,dir_acc,params
sh515450,回归,随机森林,0.0074436345873864895,0.005487926920516459,0.0034845647487584674,0.5387205387205387,"{""max_depth"": 4, ""min_samples_leaf"": 50, ""n_estimators"": 400}"
sh515450,回归,KNN,0.007556268657197507,0.005713066319201919,-0.02690134013492207,0.569023569023569,"{""n_neighbors"": 45, ""weights"": ""distance""}"
sh515450,回归,GBDT,0.0074708286788930075,0.005510233218783189,-0.0038099452343480777,0.4006734006734007,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 150}"
sh515450,回归,XGBoost,0.007766631754026453,0.005895877824530452,-0.08487416649537116,0.5723905723905723,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200}"
sh515450,回归,LightGBM,0.007754479498621192,0.005949173944590225,-0.08148187127848283,0.5387205387205387,"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200, ""num_leaves"": 15}"
sz159941,回归,线性回归,0.015715328150162966,0.010807832610698082,0.002045653752200449,0.5231958762886598,{}
sz159941,回归,Ridge回归,0.01559969010663719,0.010742891576748202,0.01667810785670476,0.5283505154639175,"{""alpha"": 50.0}"
sz159941,回归,决策树,0.015970873421837218,0.010853967163560827,-0.030673479949882232,0.4020618556701031,"{""max_depth"": 3, ""min_samples_leaf"": 50}"
sz159941,回归,随机森林,0.01569550498493524,0.010717356764369782,0.0045616861132339315,0.44072164948453607,"{""max_depth"": 4, ""min_samples_leaf"": 50, ""n_estimators"": 200}"
sz159941,回归,KNN,0.015862714955251024,0.011059732713031862,-0.01676082917566557,0.4484536082474227,"{""n_neighbors"": 45, ""weights"": ""uniform""}"
sz159941,回归,GBDT,0.015538427722003569,0.010665585634456236,0.024386255444594385,0.4484536082474227,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 150}"
sz159941,回归,XGBoost,0.01571313839824906,0.010819849827340144,0.002323741511157995,0.47164948453608246,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200}"
sz159941,回归,LightGBM,0.01571047202658682,0.010832421446263282,0.002662305320999203,0.4381443298969072,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""num_leaves"": 15}"
sh588000,回归,线性回归,0.02564197661985496,0.01848888259512406,-0.23739910490645721,0.5152671755725191,{}
sh588000,回归,Ridge回归,0.02396053487224208,0.017572650075061376,-0.08043791214800211,0.4847328244274809,"{""alpha"": 50.0}"
sh588000,回归,决策树,0.02453069266395155,0.018154554727488083,-0.13246925562616085,0.5305343511450382,"{""max_depth"": 4, ""min_samples_leaf"": 50}"
sh588000,回归,随机森林,0.023003891161258807,0.016912454628998198,0.0041145069680395,0.583969465648855,"{""max_depth"": 8, ""min_samples_leaf"": 50, ""n_estimators"": 200}"
sh588000,回归,KNN,0.02357272137136734,0.01749477417604026,-0.04574607586013846,0.5419847328244275,"{""n_neighbors"": 45, ""weights"": ""distance""}"
sh588000,回归,GBDT,0.025405753904404742,0.017644287504769787,-0.21470542659321334,0.583969465648855,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 150}"
sh588000,回归,XGBoost,0.02397331984359403,0.017477099207237563,-0.0815912297285899,0.5534351145038168,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200}"
sh588000,回归,LightGBM,0.024706619370596948,0.01792643094464564,-0.1487709559973307,0.5534351145038168,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""num_leaves"": 15}"
sh510300,回归,线性回归,0.01068589268007905,0.0076882108506231926,-0.06714223497753302,0.4948453608247423,{}
sh510300,回归,Ridge回归,0.010567499398094433,0.007626788473857559,-0.04362663812478007,0.4896907216494845,"{""alpha"": 50.0}"
sh510300,回归,决策树,0.010644461801303767,0.007682224731823221,-0.058883321617650974,0.5051546391752577,"{""max_depth"": 3, ""min_samples_leaf"": 50}"
