,count,mean,std,min,25%,50%,75%,max,skew,kurt
kdj_j,1187.0,48.57263477186351,36.50930761424164,-18.1477303219081,14.46098237024049,47.645833887300824,82.68387166470599,115.50978321676413,0.020889796767016054,-1.3303562862481992
boll_pctb,1187.0,0.48839507455206754,0.3217250206581453,-0.3895249135002092,0.2313594609512753,0.4688498477965211,0.7507586325566418,1.2918039462696855,0.0920433747764523,-0.8866953404890299
boll_width,1187.0,0.16108537839066223,0.08703491688351987,0.040944483256542805,0.10320897213245242,0.14055102652594892,0.19352708271363123,0.6010357744061068,1.6396215332929944,3.666570676153274
pos_20,1187.0,0.4879940527306407,0.35990301221603643,0.0,0.14209994952043803,0.47474747474745227,0.8404176505995987,0.9999999999999927,0.05708459145717604,-1.4532397155275896
pos_60,1187.0,0.4696342205305443,0.3190976308658779,0.0,0.19963768115941705,0.42489270386265865,0.7661251593058791,0.9999999999999957,0.16384552348260784,-1.2154704763103839
overnight,1187.0,0.0007015166989719953,0.016213092833388038,-0.11475409836065764,-0.008130109918995265,-1.9984014443252818e-15,0.008967652498915957,0.10927303080891848,0.10272561638435242,6.9859673395315305
intraday,1187.0,-0.0002845429672267604,0.020986414066603048,-0.14154048716260992,-0.012156972067551397,-0.0021424745581172244,0.010079202552936706,0.18508593275448892,0.9652889228262072,9.697797076063974
fin_eps,1187.0,12.632843639427128,7.421222581783992,3.0271,5.6912,10.5075,17.0173,28.8613,0.587491802231482,-0.6220737003703856
fin_roe,1187.0,12.108084617523167,6.638465206285048,2.968068,5.320966,11.684194,16.625551,30.173908,0.5825498460593849,-0.15085141613318154
fin_np_gr,1187.0,14.421133176074136,38.88105222633401,-54.737854,2.238986,15.26545,44.783744,73.876017,-0.29306468732232455,-0.9126676743007756
fin_rev_gr,1187.0,8.840502133951137,10.405946191273356,-9.380663,2.691011,9.203612,13.785813,34.699856,0.340313353339669,0.22431074739836543
fin_eps_chg,1187.0,0.4096087426603012,0.6683595815894492,-0.895115604633194,0.3286655344854943,0.6195384249345703,0.8441162772646122,1.3274089507634352,-0.9317513169434453,-0.41810140664101914
