code,name,algo,auc,buy_th,sell_th,max_pos,stop_loss,take_profit,strat_total,bh_total,excess_total,strat_cagr,bh_cagr,sharpe,mdd,calmar,trades,win_rate,avg_hold_ret,exposure
sh515450,红利低波50ETF,随机森林,0.491083079599826,0.55,0.45,1.0,0.05,0.15,0.0039675601285547035,0.030075187969919925,-0.026107627841365222,0.003365404339736422,0.02546086025469374,0.4558138267668754,-0.004994849279509994,0.6737749532387443,4,0.42857142857142855,0.00015347161342482823,0.09427609427609428
sh515450,红利低波50ETF,GBDT,0.45092975206611563,0.55,0.45,1.0,0.08,0.15,0.01393077812463872,0.030075187969919925,-0.016144409845281205,0.011807645938034517,0.02546086025469374,0.2611338855170422,-0.04710759311604984,0.2506527113144225,10,0.30337078651685395,9.459915838306545e-05,0.5993265993265994
sz159941,纳指ETF,Logistic回归,0.6024503466917381,0.55,0.45,1.0,0.05,0.15,0.03588973544396068,0.4051724137931014,-0.36928267834914075,0.023165530485625974,0.2472344572852505,1.021002364279121,-0.010758642284832032,2.1532020372389993,9,0.36470588235294116,0.00021440793931875844,0.4381443298969072
sz159941,纳指ETF,随机森林,0.5811493712539664,0.65,0.5,1.0,0.05,0.15,0.031022037984241857,0.4051724137931014,-0.37415037580885957,0.020040292920196157,0.2472344572852505,1.2258742173711907,-0.009489659614351997,2.111803134633782,2,0.38235294117647056,0.0004568580479331167,0.17525773195876287
sz159941,纳指ETF,XGBoost,0.559789634504642,0.65,0.5,1.0,0.05,0.15,0.2237281045122128,0.4051724137931014,-0.18144430928088862,0.14011854229303466,0.2472344572852505,1.3870086731448772,-0.11704286047654722,1.1971558258447665,8,0.39923954372623577,0.0008059196965084808,0.6778350515463918
sh588000,科创50ETF,Logistic回归,0.5533383534136547,0.65,0.45,1.0,0.05,0.15,0.11349864717014224,1.0190476190476216,-0.9055489718774794,0.10893896684030513,0.9656208333303431,2.304555726240243,-0.024243019263632593,4.493622087894247,5,0.5128205128205128,0.0028095574215801613,0.14885496183206107
sh588000,科创50ETF,随机森林,0.5318147590361446,0.55,0.45,1.0,0.05,0.15,0.032665302195847845,1.0190476190476216,-0.9863823168517738,0.03139916692099809,0.9656208333303431,1.9894203961336518,-0.008080744792997696,3.885677338579828,3,0.4153846153846154,0.0004993155309466783,0.2480916030534351
sh588000,科创50ETF,XGBoost,0.48995983935742976,0.65,0.5,1.0,0.05,0.15,0.04390331955010285,1.0190476190476216,-0.9751442994975188,0.04219276575662523,0.9656208333303431,0.4951463967881385,-0.06342018527969306,0.665289222517223,15,0.38666666666666666,0.0006888084983460538,0.2862595419847328
sh510300,沪深300ETF,XGBoost,0.5305805305805307,0.6,0.45,1.0,0.05,0.15,0.03912328833098222,0.2910052910052907,-0.2518820026743085,0.025238743055488566,0.18044575572572197,0.753824179514597,-0.020502270075898443,1.2310218801164905,20,0.47619047619047616,0.0002882534327264335,0.3788659793814433
sh510300,沪深300ETF,Logistic回归,0.5087690087690088,0.6,0.45,1.0,0.05,0.15,0.027407928498360823,0.2910052910052907,-0.2635973625069299,0.017716557679695155,0.18044575572572197,1.2288545898867747,-0.011797302495777928,1.501746495526044,2,0.5423728813559322,0.0004659571629791035,0.15206185567010308
sh510300,沪深300ETF,决策树,0.45200632700632704,0.55,0.5,1.0,0.05,0.15,0.005373063552869484,0.2910052910052907,-0.28563222745242123,0.0034864434430881275,0.18044575572572197,0.2591741113387113,-0.011813838390391518,0.2951152138600217,32,0.4027777777777778,0.0001290479971661326,0.18556701030927836
sh510500,中证500ETF,随机森林,0.5079235862368392,0.55,0.45,1.0,0.05,0.15,0.03765126507670025,0.5348432055749128,-0.4971919404982126,0.024295226999080155,0.32082627933858565,2.050989972061603,-0.0075552030471376375,3.2156947798093447,8,0.6216216216216216,0.0005064940465308535,0.19072164948453607
sh510500,中证500ETF,决策树,0.5083848909150114,0.55,0.45,0.8,0.05,0.15,0.0,0.5348432055749128,-0.5348432055749128,0.0,0.32082627933858565,0.0,0.0,,0,,,0.0
sh510500,中证500ETF,XGBoost,0.5155215456420276,0.6,0.5,1.0,0.05,0.15,0.05072174287735276,0.5348432055749128,-0.48412146269756007,0.03265663884315262,0.32082627933858565,0.9232985258411617,-0.020228045818778684,1.6144238121527223,29,0.5952380952380952,0.0006542958777779577,0.21649484536082475
